Designator,Footprint,Quantity,Value,LCSC Part #
"ANT0, PAD1, PAD2, PAD3, PAD6, PAD7, PAD8, PAD9","1,6_0,9",8,"1,6/0,9",
C1,C0805K,1,1n,
"C10, C21",C0603K,2,4u7,
C12,C0603K,1,22n,
"C13, C15",C0603K,2,22p,
C14,SMC_B,1,10u,
C17,SMC_B,1,220u,
C18,C0603K,1,470n,
C19,C0603K,1,100n,
"C2, C24, C26, C29, C3, C5, C8",C0805K,7,100n,
C4,C0805K,1,4u7,
"C7, C9",C0805K,2,27p,
IC4,TQFP44,1,DSPIC33FJ64MC804-PT,
"LED1, LED2, LED3, LED4, LED5",CHIP-LED0805,5,LEDCHIP-LED0805,
PICKIT0,FE06,1,FE06-1,
Q1,HC49U-V,1,10MHz,
"R1, R13, R6, R7, R8",R0805,5,470,
"R17, R19, R20",M0805,3,470k,
R18,R0805,1,10k,
R2,R0805,1,20k,
R24,M0805,1,18k,
R27,RJ9W,1,200k,
"R5, R9",R0805,2,4k7,
"SV1, SV2",MA03-1,2,MA03-1,
U$1,SOIC8,1,MCP607SO8,
U$3,SOT223-3,1,LM1117,
U$5,SSOP24,1,SI4735-D60,
Y1,CMR309T,1,CMR309T,
